x y depth yinc xinc strike dip rake slip Sample
96.1934 20.0713 6.4952 5 5 353 60 177 1.6491 2
96.2173 20.0740 10.8253 5 5 353 60 170 1.2149 2
96.2413 20.0767 15.1554 5 5 353 60 162 0.9078 2
96.2652 20.0795 19.4856 5 5 353 60 161 0.7462 2
96.2892 20.0822 23.8157 5 5 353 60 163 0.6378 2
96.3131 20.0849 28.1458 5 5 353 60 165 0.5055 2
96.3371 20.0876 32.4760 5 5 353 60 166 0.2862 2
96.1636 20.1132 2.1651 5 5 353 60 -179 1.8262 2
96.1876 20.1159 6.4952 5 5 353 60 178 1.5611 2
96.2115 20.1187 10.8253 5 5 353 60 172 1.1700 2
96.2355 20.1214 15.1554 5 5 353 60 163 0.8662 2
96.2594 20.1241 19.4856 5 5 353 60 159 0.6796 2
96.2834 20.1268 23.8157 5 5 353 60 160 0.5414 2
96.3074 20.1295 28.1458 5 5 353 60 161 0.3939 2
96.3313 20.1323 32.4760 5 5 353 60 162 0.2053 2
96.1578 20.1578 2.1651 5 5 353 60 -180 1.8629 2
96.1818 20.1606 6.4952 5 5 353 60 177 1.6229 2
96.2057 20.1633 10.8253 5 5 353 60 173 1.2412 2
96.2297 20.1660 15.1554 5 5 353 60 166 0.9089 2
96.2536 20.1687 19.4856 5 5 353 60 159 0.6766 2
96.2776 20.1715 23.8157 5 5 353 60 154 0.4995 2
96.3016 20.1742 28.1458 5 5 353 60 151 0.3351 2
96.3255 20.1769 32.4760 5 5 353 60 151 0.1672 2
96.1520 20.2025 2.1651 5 5 353 60 178 2.0161 2
96.1760 20.2052 6.4952 5 5 353 60 175 1.8029 2
96.1999 20.2079 10.8253 5 5 353 60 173 1.3924 2
96.2239 20.2107 15.1554 5 5 353 60 168 1.0017 2
96.2478 20.2134 19.4856 5 5 353 60 161 0.7041 2
96.2718 20.2161 23.8157 5 5 353 60 153 0.4985 2
96.2958 20.2188 28.1458 5 5 353 60 146 0.3308 2
96.3197 20.2215 32.4760 5 5 353 60 144 0.1558 2
96.1462 20.2471 2.1651 5 5 353 60 175 2.1460 2
96.1702 20.2498 6.4952 5 5 353 60 173 1.9304 2
96.1941 20.2526 10.8253 5 5 353 60 172 1.4990 2
96.2181 20.2553 15.1554 5 5 353 60 170 1.0660 2
96.2421 20.2580 19.4856 5 5 353 60 164 0.7229 2
96.2660 20.2607 23.8157 5 5 353 60 156 0.5038 2
96.2900 20.2635 28.1458 5 5 353 60 148 0.3464 2
96.3139 20.2662 32.4760 5 5 353 60 147 0.1724 2
96.1404 20.2917 2.1651 5 5 353 60 173 2.2542 2
96.1644 20.2945 6.4952 5 5 353 60 172 2.0138 2
96.1883 20.2972 10.8253 5 5 353 60 172 1.5811 2
96.2123 20.2999 15.1554 5 5 353 60 172 1.1392 2
96.2362 20.3026 19.4856 5 5 353 60 169 0.7857 2
96.2602 20.3054 23.8157 5 5 353 60 163 0.5453 2
96.2842 20.3081 28.1458 5 5 353 60 157 0.3759 2
96.3081 20.3108 32.4760 5 5 353 60 159 0.2000 2
96.1346 20.3364 2.1651 5 5 353 60 172 2.4131 2
96.1586 20.3391 6.4952 5 5 353 60 171 2.1610 2
96.1825 20.3418 10.8253 5 5 353 60 173 1.7176 2
96.2065 20.3446 15.1554 5 5 353 60 174 1.2800 2
96.2304 20.3473 19.4856 5 5 353 60 174 0.9319 2
96.2544 20.3500 23.8157 5 5 353 60 171 0.6672 2
96.2784 20.3527 28.1458 5 5 353 60 168 0.4654 2
96.3023 20.3554 32.4760 5 5 353 60 171 0.2579 2
96.1288 20.3810 2.1651 5 5 353 60 172 2.4767 2
96.1528 20.3837 6.4952 5 5 353 60 172 2.2495 2
96.1767 20.3865 10.8253 5 5 353 60 173 1.8350 2
96.2007 20.3892 15.1554 5 5 353 60 175 1.4203 2
96.2246 20.3919 19.4856 5 5 353 60 176 1.0863 2
96.2486 20.3946 23.8157 5 5 353 60 175 0.8173 2
96.2725 20.3974 28.1458 5 5 353 60 172 0.5864 2
96.2965 20.4001 32.4760 5 5 353 60 173 0.3275 2
96.1230 20.4256 2.1651 5 5 353 60 173 2.4542 2
96.1470 20.4284 6.4952 5 5 353 60 171 2.2470 2
96.1709 20.4311 10.8253 5 5 353 60 171 1.8789 2
96.1949 20.4338 15.1554 5 5 353 60 173 1.5073 2
96.2188 20.4366 19.4856 5 5 353 60 175 1.1995 2
96.2428 20.4393 23.8157 5 5 353 60 174 0.9379 2
96.2667 20.4420 28.1458 5 5 353 60 172 0.6873 2
96.2907 20.4447 32.4760 5 5 353 60 172 0.3857 2
96.1172 20.4703 2.1651 5 5 353 60 174 2.3310 2
96.1411 20.4730 6.4952 5 5 353 60 171 2.1489 2
96.1651 20.4757 10.8253 5 5 353 60 170 1.8507 2
96.1890 20.4785 15.1554 5 5 353 60 172 1.5483 2
96.2130 20.4812 19.4856 5 5 353 60 174 1.2824 2
96.2370 20.4839 23.8157 5 5 353 60 174 1.0330 2
96.2609 20.4866 28.1458 5 5 353 60 173 0.7695 2
96.2849 20.4893 32.4760 5 5 353 60 173 0.4366 2
96.1114 20.5149 2.1651 5 5 353 60 176 2.1830 2
96.1353 20.5176 6.4952 5 5 353 60 171 2.0404 2
96.1593 20.5204 10.8253 5 5 353 60 170 1.8190 2
96.1832 20.5231 15.1554 5 5 353 60 172 1.5829 2
96.2072 20.5258 19.4856 5 5 353 60 175 1.3633 2
96.2311 20.5285 23.8157 5 5 353 60 176 1.1313 2
96.2551 20.5313 28.1458 5 5 353 60 176 0.8656 2
96.2791 20.5340 32.4760 5 5 353 60 177 0.4979 2
